retailer_group,distributor_count
ACME,139
ALTOMONTE'S ITALIAN MARKET,2
"ANTHONY DIENNER, LLC",1
BB'S GROC OUTLET,1
BELL'S MARKET,4
BOOTHWYN CORNER FARMER'S MARKET,1
COLUMBUS MARKET,2
DETERDING'S FAMILY MKT,1
DUTCH FAMILY DELI,2
FARM ART PRODUCE,1
FOOD LINE MANAGEMENT COMPANY,1
FRESH GROCER,8
GEORGE'S MARKET AT DRESHERTOWN,1
GIANT,95
GREATVALU,1
GROCERY OUTLET,11
HENNINGS SUPERMARKET,1
HOUSE OF KOSHER,1
INCOLLINGO'S,1
MARKET FRESH FARM,1
MAXIMUCKS FARM MARKET,1
MCCAFFREY'S MKT,5
MELVIN BEILER,1
MILLER'S TWIST,1
NET COST,1
NET COST MARKET,1
NEW EGYPT MARKET PLACE,1
NEWTOWN FARMER'S MARKET,1
NORTHBROOK MARKETPLACE,1
NPGS II,3
PENN JERSEY MARKETPLACE,3
PETROVSKY’S MARKET,1
PJP MARKETPLACE,3
PRICE RIGHT,1
RASTELLI MARKET FRESH,1
REDNER'S MARKET,2
RESTAURANT DEPOT,4
SAM'S ITALIAN MARKET,1
SARA'S SUBS AND SALAD,1
SELECTO MARKET,1
SHOPRITE,63
SOLLY FARM,1
SPRINGDALE FARM MARKET,1
STOLTZFUS BAKED GOODS,2
"STOLTZFUS CHEESE AND DELI, LLC.",1
STONY HILL DELI,1
STYER ORCHARD INC,1
THE ESH'S PRETZEL PLACE,1
THE FULL CART,1
THE RICHMOND SHOPS IGA,1
TRAUGER'S FARM MARKET,2
UPTOWN ENTERTAINMENT,1
WAWA,374
WEIS,7
WILLIAMSTOWN MARKET,1
